NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
v a p a u s,v a p a u d e n,no,_,_,_
c u p,c u p i n,no,_,_,_
p a u k u t t e l u,p a u k u t t e l u n,no,_,_,_
v i e r a s,v i e r a a n,no,_,_,_
p e n t e l e,p e n t e l e e n,no,_,_,_
s e i k k a,s e i k a n,yes,quantitative,k,direct
d e m o k r a a t t i,d e m o k r a a t i n,yes,quantitative,t,direct
k ä t e i n e n,k ä t e i s e n,no,_,_,_
a p i l a,a p i l a n,no,_,_,_
j ä l j e n n ö s,j ä l j e n n ö k s e n,no,_,_,_
y l e n n y s,y l e n n y k s e n,no,_,_,_
p u l j u,p u l j u n,no,_,_,_
l o v i,l o v e n,no,_,_,_
s a n a s t o,s a n a s t o n,no,_,_,_
h a n a,h a n a n,no,_,_,_
s e k a a n t u m i n e n,s e k a a n t u m i s e n,no,_,_,_
t a h d i t t o m u u s,t a h d i t t o m u u d e n,no,_,_,_
h i e r o n t a,h i e r o n n a n,yes,qualitative,t,direct
t r i k o l o r i,t r i k o l o r i n,no,_,_,_
j o h d o s,j o h d o k s e n,no,_,_,_
m e n e t t e l y,m e n e t t e l y n,no,_,_,_
a n k k a,a n k a n,yes,quantitative,k,direct
t u l k k i,t u l k i n,yes,quantitative,k,direct
p l u s s a,p l u s s a n,no,_,_,_
f i l m a t i s o i n t i,f i l m a t i s o i n n i n,yes,qualitative,t,direct
k a p i n a l l i n e n,k a p i n a l l i s e n,no,_,_,_
u u p u m u s,u u p u m u k s e n,no,_,_,_
k u n d i,k u n d i n,no,_,_,_
p ä ä t t y m i n e n,p ä ä t t y m i s e n,no,_,_,_
p o t k u,p o t k u n,no,_,_,_
k o n s u l i,k o n s u l i n,no,_,_,_
a r m a h d u s,a r m a h d u k s e n,no,_,_,_
m ö n k i j ä,m ö n k i j ä n,no,_,_,_
m a n i p u l o i n t i,m a n i p u l o i n n i n,yes,qualitative,t,direct
a n i m a a t i o,a n i m a a t i o n,no,_,_,_
r e s u r s s i,r e s u r s s i n,no,_,_,_
s ä v e l l y s,s ä v e l l y k s e n,no,_,_,_
b r a n d i,b r a n d i n,no,_,_,_
r a l l a t u s,r a l l a t u k s e n,no,_,_,_
i t s e n ä i s y y s,i t s e n ä i s y y d e n,no,_,_,_
ä ä n e s t ä m i n e n,ä ä n e s t ä m i s e n,no,_,_,_
t o u h u,t o u h u n,no,_,_,_
k r i i t i k k o,k r i i t i k o n,yes,quantitative,k,direct
t e o l o g i,t e o l o g i n,no,_,_,_
p a l l o t t e l u,p a l l o t t e l u n,no,_,_,_
v a s t a u s,v a s t a u k s e n,no,_,_,_
r a k e n n e l m a,r a k e n n e l m a n,no,_,_,_
a v o t e r v e y d e n h u o l t o,a v o t e r v e y d e n h u o l l o n,yes,qualitative,t,direct
h e i j a s t u m a,h e i j a s t u m a n,no,_,_,_
l o u k k a a m i n e n,l o u k k a a m i s e n,no,_,_,_
h a a v o i t t u v a i s u u s,h a a v o i t t u v a i s u u d e n,no,_,_,_
v i t s i,v i t s i n,no,_,_,_
m i e t i n t ä,m i e t i n n ä n,yes,qualitative,t,direct
h y v ä k s i k ä y t t ö,h y v ä k s i k ä y t ö n,yes,quantitative,t,direct
a v u s t u s,a v u s t u k s e n,no,_,_,_
h e l k k a r i,h e l k k a r i n,no,_,_,_
p i o n e e r i,p i o n e e r i n,no,_,_,_
v a l o,v a l o n,no,_,_,_
h u o m i o,h u o m i o n,no,_,_,_
h o i t o,h o i d o n,yes,qualitative,t,direct
n e u r o t i e d e,n e u r o t i e t e e n,yes,qualitative,t,inverse
k a s v a t t a j a,k a s v a t t a j a n,no,_,_,_
r a k s i,r a k s i n,no,_,_,_
t i l a u s,t i l a u k s e n,no,_,_,_
a r o m i,a r o m i n,no,_,_,_
p o i k a n e n,p o i k a s e n,no,_,_,_
s a l a i s u u s,s a l a i s u u d e n,no,_,_,_
l u o t s a u s,l u o t s a u k s e n,no,_,_,_
l u k e m i n e n,l u k e m i s e n,no,_,_,_
d e k l i n a a t i o,d e k l i n a a t i o n,no,_,_,_
j a r r u t u s,j a r r u t u k s e n,no,_,_,_
k u i s k a u s,k u i s k a u k s e n,no,_,_,_
e l ä i n,e l ä i m e n,no,_,_,_
s a t a n e n,s a t a s e n,no,_,_,_
v u o k r a a m i n e n,v u o k r a a m i s e n,no,_,_,_
h ö r p p y,h ö r p y n,yes,quantitative,p,direct
a i k u i s u u s,a i k u i s u u d e n,no,_,_,_
t u t k i j a,t u t k i j a n,no,_,_,_
p a l i k k a,p a l i k a n,yes,quantitative,k,direct
k i l t t e y s,k i l t t e y d e n,no,_,_,_
s u v a i t s e v a i s u u s,s u v a i t s e v a i s u u d e n,no,_,_,_
v a n h u u s,v a n h u u d e n,no,_,_,_
v e m p a i n,v e m p a i m e n,no,_,_,_
s u u t t u m u s,s u u t t u m u k s e n,no,_,_,_
r a u k k a,r a u k a n,yes,quantitative,k,direct
n o t a a t i o,n o t a a t i o n,no,_,_,_
l o k i,l o k i n,no,_,_,_
p u o l i k a s,p u o l i k k a a n,yes,quantitative,k,inverse
j o u t i l a i s u u s,j o u t i l a i s u u d e n,no,_,_,_
t a a j u u s,t a a j u u d e n,no,_,_,_
t r a g e d i a,t r a g e d i a n,no,_,_,_
m o d u s,m o d u k s e n,no,_,_,_
a p r i k o o s i,a p r i k o o s i n,no,_,_,_
r u s k a,r u s k a n,no,_,_,_
p e l i,p e l i n,no,_,_,_
a l a s t o m u u s,a l a s t o m u u d e n,no,_,_,_
v e h j e,v e h k e e n,yes,qualitative,k,inverse
v a i v a,v a i v a n,no,_,_,_
l e p s u i l u,l e p s u i l u n,no,_,_,_
s a a t t o,s a a t o n,yes,quantitative,t,direct
k o l l e g i o,k o l l e g i o n,no,_,_,_
k o h d e,k o h t e e n,yes,qualitative,t,inverse
k o h o,k o h o n,no,_,_,_
m y y n t i,m y y n n i n,yes,qualitative,t,direct
v ä l t t ä m ä t t ö m y y s,v ä l t t ä m ä t t ö m y y d e n,no,_,_,_
p l a n t a a s i,p l a n t a a s i n,no,_,_,_
v a r u s t e,v a r u s t e e n,no,_,_,_
m e i j e r i,m e i j e r i n,no,_,_,_
a k a t e e m i k k o,a k a t e e m i k o n,yes,quantitative,k,direct
s u o j e l u,s u o j e l u n,no,_,_,_
y h d y s k ä y t ä v ä,y h d y s k ä y t ä v ä n,no,_,_,_
k o k o o m u s,k o k o o m u k s e n,no,_,_,_
a j a t u s,a j a t u k s e n,no,_,_,_
s i l k k i,s i l k i n,yes,quantitative,k,direct
s u r u,s u r u n,no,_,_,_
k o r s i,k o r r e n,no,_,_,_
p a p p i,p a p i n,yes,quantitative,p,direct
t e i p p a u s,t e i p p a u k s e n,no,_,_,_
k o n t r a h t i,k o n t r a h d i n,yes,qualitative,t,direct
m a n a g e r i,m a n a g e r i n,no,_,_,_
p a l k k a,p a l k a n,yes,quantitative,k,direct
m a u s t e,m a u s t e e n,no,_,_,_
e m e r i t u s,e m e r i t u k s e n,no,_,_,_
s e u r a l a i n e n,s e u r a l a i s e n,no,_,_,_
p i m e n t o,p i m e n n o n,yes,qualitative,t,direct
k u i t u,k u i d u n,yes,qualitative,t,direct
l a i n a u s,l a i n a u k s e n,no,_,_,_
t y y t y m ä t t ö m y y s,t y y t y m ä t t ö m y y d e n,no,_,_,_
o r k e s t e r i,o r k e s t e r i n,no,_,_,_
r a s i s m i,r a s i s m i n,no,_,_,_
m e h u,m e h u n,no,_,_,_
s i l m u k k a,s i l m u k a n,yes,quantitative,k,direct
t r i o,t r i o n,no,_,_,_
r e k v i s i i t t a,r e k v i s i i t a n,yes,quantitative,t,direct
m a t e r i a,m a t e r i a n,no,_,_,_
h a r t i a,h a r t i a n,no,_,_,_
s a a n t i,s a a n n i n,yes,qualitative,t,direct
s o r m u s,s o r m u k s e n,no,_,_,_
y h d i s t e,y h d i s t e e n,no,_,_,_
i l m a i l u,i l m a i l u n,no,_,_,_
s u n n u n t a i,s u n n u n t a i n,no,_,_,_
k ä r p ä n e n,k ä r p ä s e n,no,_,_,_
v e r t a u s,v e r t a u k s e n,no,_,_,_
l i i g a,l i i g a n,no,_,_,_
t a n s s i j a t a r,t a n s s i j a t t a r e n,yes,quantitative,t,inverse
h u u l i,h u u l e n,no,_,_,_
a n i m a a t t o r i,a n i m a a t t o r i n,no,_,_,_
f e t i s i s m i,f e t i s i s m i n,no,_,_,_
a n t i i k k i,a n t i i k i n,yes,quantitative,k,direct
r y t m i,r y t m i n,no,_,_,_
k u u s i k y m p p i n e n,k u u s i k y m p p i s e n,no,_,_,_
i d i o o t t i,i d i o o t i n,yes,quantitative,t,direct
l u o k a l l i n e n,l u o k a l l i s e n,no,_,_,_
j u t t u,j u t u n,yes,quantitative,t,direct
t y y p p i,t y y p i n,yes,quantitative,p,direct
v ä l t t ä m i n e n,v ä l t t ä m i s e n,no,_,_,_
k u p p o n e n,k u p p o s e n,no,_,_,_
t u r v a a m i n e n,t u r v a a m i s e n,no,_,_,_
o n g e l m a,o n g e l m a n,no,_,_,_
k a t t a v u u s,k a t t a v u u d e n,no,_,_,_
h a n k e,h a n k k e e n,yes,quantitative,k,inverse
p a l o,p a l o n,no,_,_,_
s y y t t e l y,s y y t t e l y n,no,_,_,_
m a a,m a a n,no,_,_,_
m a i s s i,m a i s s i n,no,_,_,_
j y r k ä n n e,j y r k ä n t e e n,yes,qualitative,t,inverse
s o l u,s o l u n,no,_,_,_
p a p u,p a v u n,yes,qualitative,p,direct
t ä y t t y m i n e n,t ä y t t y m i s e n,no,_,_,_
n a u t t i m i n e n,n a u t t i m i s e n,no,_,_,_
u u n i,u u n i n,no,_,_,_
n e n ä,n e n ä n,no,_,_,_
k ä s k y,k ä s k y n,no,_,_,_
h e r r u u s,h e r r u u d e n,no,_,_,_
t a r p e e l l i s u u s,t a r p e e l l i s u u d e n,no,_,_,_
l o t t o,l o t o n,yes,quantitative,t,direct
o p i s k e l i j a,o p i s k e l i j a n,no,_,_,_
f i i l i s,f i i l i k s e n,no,_,_,_
i l o,i l o n,no,_,_,_
k o o m a,k o o m a n,no,_,_,_
t a l v i s o t a,t a l v i s o d a n,yes,qualitative,t,direct
p e l a a m i n e n,p e l a a m i s e n,no,_,_,_
p i l l i,p i l l i n,no,_,_,_
t y ö l l i s y y s,t y ö l l i s y y d e n,no,_,_,_
p a h o i t t e l u,p a h o i t t e l u n,no,_,_,_
k a s a k k a,k a s a k a n,yes,quantitative,k,direct
o i k e u s,o i k e u d e n,no,_,_,_
h ä v i t t ä j ä,h ä v i t t ä j ä n,no,_,_,_
a n t a j a,a n t a j a n,no,_,_,_
h a n s k a,h a n s k a n,no,_,_,_
s u v a i t s e m a t t o m u u s,s u v a i t s e m a t t o m u u d e n,no,_,_,_
e r o t t a m i n e n,e r o t t a m i s e n,no,_,_,_
j u o r u,j u o r u n,no,_,_,_
k o j u,k o j u n,no,_,_,_
k e h i t t y m i n e n,k e h i t t y m i s e n,no,_,_,_
s a a r e k e,s a a r e k k e e n,yes,quantitative,k,inverse
m i n u u s,m i n u u d e n,no,_,_,_
k a u h a,k a u h a n,no,_,_,_
e m ä n t ä,e m ä n n ä n,yes,qualitative,t,direct
m e n n e i s y y s,m e n n e i s y y d e n,no,_,_,_
l a a j e n t u m i n e n,l a a j e n t u m i s e n,no,_,_,_
i n s t r u m e n t a a l i,i n s t r u m e n t a a l i n,no,_,_,_
l i s ä,l i s ä n,no,_,_,_
m a i s t a j a,m a i s t a j a n,no,_,_,_
k e m i a,k e m i a n,no,_,_,_
n ä r e,n ä r e e n,no,_,_,_
d u u m a,d u u m a n,no,_,_,_
p a r o d i a,p a r o d i a n,no,_,_,_
o p e t u s,o p e t u k s e n,no,_,_,_
v i i v ä s t y s,v i i v ä s t y k s e n,no,_,_,_
t ö ö t t i,t ö ö t i n,yes,quantitative,t,direct
r a h a s t o,r a h a s t o n,no,_,_,_
l i n n a,l i n n a n,no,_,_,_
t a a n t u m a,t a a n t u m a n,no,_,_,_
s e l v i ö,s e l v i ö n,no,_,_,_
n e i t s y t,n e i t s y e n,yes,qualitative,t,direct
t ö l k k i,t ö l k i n,yes,quantitative,k,direct
n i i t t y,n i i t y n,yes,quantitative,t,direct
p u u s k a,p u u s k a n,no,_,_,_
m a r g i n a a l i,m a r g i n a a l i n,no,_,_,_
k o h d i s t u s,k o h d i s t u k s e n,no,_,_,_
r a v i n t o,r a v i n n o n,yes,qualitative,t,direct
s ä h l y,s ä h l y n,no,_,_,_
i t a l i a,i t a l i a n,no,_,_,_
p a h o l a i n e n,p a h o l a i s e n,no,_,_,_
p e i l i,p e i l i n,no,_,_,_
s i g n a a l i,s i g n a a l i n,no,_,_,_
j u u t a l a i n e n,j u u t a l a i s e n,no,_,_,_
r y ö s t ö,r y ö s t ö n,no,_,_,_
p i t s i,p i t s i n,no,_,_,_
t ä h t ä i n,t ä h t ä i m e n,no,_,_,_
a l u e,a l u e e n,no,_,_,_
v i h i,v i h i n,no,_,_,_
k o n d u k t ö ö r i,k o n d u k t ö ö r i n,no,_,_,_
k e l l a s t u m i n e n,k e l l a s t u m i s e n,no,_,_,_
k o m p r o m i s s i,k o m p r o m i s s i n,no,_,_,_
t e k i j ä,t e k i j ä n,no,_,_,_
k e i s a r i,k e i s a r i n,no,_,_,_
s i i r t y m i n e n,s i i r t y m i s e n,no,_,_,_
p o i k u e,p o i k u e e n,no,_,_,_
h i o k e,h i o k k e e n,yes,quantitative,k,inverse
o p p i j a,o p p i j a n,no,_,_,_
r u n k o,r u n g o n,yes,qualitative,k,direct
k e h i t t ä j ä,k e h i t t ä j ä n,no,_,_,_
m o s k o v a l a i n e n,m o s k o v a l a i s e n,no,_,_,_
s u k s i,s u k s e n,no,_,_,_
t u r k i s,t u r k i k s e n,no,_,_,_
n e u v o n t a,n e u v o n n a n,yes,qualitative,t,direct
p y ö r ä i l i j ä,p y ö r ä i l i j ä n,no,_,_,_
k ä y t ä n n ö l l i s y y s,k ä y t ä n n ö l l i s y y d e n,no,_,_,_
s a a r n a,s a a r n a n,no,_,_,_
i t k u,i t k u n,no,_,_,_
v ä ä n t ö,v ä ä n n ö n,yes,qualitative,t,direct
p u r k u,p u r u n,yes,qualitative,k,direct
e n n u s t e,e n n u s t e e n,no,_,_,_
n o r m a a l i u s,n o r m a a l i u d e n,no,_,_,_
h e l i k o p t e r i,h e l i k o p t e r i n,no,_,_,_
s a a l i s t a j a,s a a l i s t a j a n,no,_,_,_
m a n g a,m a n g a n,no,_,_,_
l a m m i k k o,l a m m i k o n,yes,quantitative,k,direct
s a i r a u s,s a i r a u d e n,no,_,_,_
o k u l a a r i,o k u l a a r i n,no,_,_,_
k a n s s a i h m i n e n,k a n s s a i h m i s e n,no,_,_,_
j o u k k u e,j o u k k u e e n,no,_,_,_
k i h a r a,k i h a r a n,no,_,_,_
k y l m ä k i s k o i s u u s,k y l m ä k i s k o i s u u d e n,no,_,_,_
i n t e g r a a t i o,i n t e g r a a t i o n,no,_,_,_
p a k k a n e n,p a k k a s e n,no,_,_,_
k ä n n y k k ä,k ä n n y k ä n,yes,quantitative,k,direct
s i k a r i,s i k a r i n,no,_,_,_
r i k k o m i n e n,r i k k o m i s e n,no,_,_,_
m e n t a l i t e e t t i,m e n t a l i t e e t i n,yes,quantitative,t,direct
v i t t u,v i t u n,yes,quantitative,t,direct
p i i r i t t ä j ä,p i i r i t t ä j ä n,no,_,_,_
r a v i n t o l a,r a v i n t o l a n,no,_,_,_
t u k k u,t u k u n,yes,quantitative,k,direct
l o r a u s,l o r a u k s e n,no,_,_,_
l a u t a,l a u d a n,yes,qualitative,t,direct
s u o l a i s u u s,s u o l a i s u u d e n,no,_,_,_
r o m u t t a m o,r o m u t t a m o n,no,_,_,_
k a u l u s,k a u l u k s e n,no,_,_,_
n a i s e u s,n a i s e u d e n,no,_,_,_
t a k s i,t a k s i n,no,_,_,_
p a n i i k k i,p a n i i k i n,yes,quantitative,k,direct
o r d a,o r d a n,no,_,_,_
t y ö t ö n,t y ö t t ö m ä n,yes,quantitative,t,inverse
a m p u m i n e n,a m p u m i s e n,no,_,_,_
t a r k a s t a j a,t a r k a s t a j a n,no,_,_,_
v u o h i,v u o h e n,no,_,_,_
n i l v i ä i n e n,n i l v i ä i s e n,no,_,_,_
u p e u s,u p e u d e n,no,_,_,_
p i e l i,p i e l e n,no,_,_,_
s ä d e,s ä t e e n,yes,qualitative,t,inverse
r a j o i t e,r a j o i t t e e n,yes,quantitative,t,inverse
l ä s n ä o l o,l ä s n ä o l o n,no,_,_,_
m e t s ä s t ä j ä,m e t s ä s t ä j ä n,no,_,_,_
u s v a,u s v a n,no,_,_,_
t a i d e,t a i t e e n,yes,qualitative,t,inverse
p u n o i t u s,p u n o i t u k s e n,no,_,_,_
r o t i s k o,r o t i s k o n,no,_,_,_
u s k o,u s k o n,no,_,_,_
o u l u l a i n e n,o u l u l a i s e n,no,_,_,_
m a m m o g r a f i a,m a m m o g r a f i a n,no,_,_,_
k ä n n i,k ä n n i n,no,_,_,_
p a t j a,p a t j a n,no,_,_,_
t a p a a m i n e n,t a p a a m i s e n,no,_,_,_
k y p s y m i n e n,k y p s y m i s e n,no,_,_,_
l u p a u s,l u p a u k s e n,no,_,_,_
s e o s,s e o k s e n,no,_,_,_
r ä p y t t e l y,r ä p y t t e l y n,no,_,_,_
r a d i o l o g i a,r a d i o l o g i a n,no,_,_,_
a h e r r u s,a h e r r u k s e n,no,_,_,_
h u v i,h u v i n,no,_,_,_
m y y t t i,m y y t i n,yes,quantitative,t,direct
n ä k e m y s,n ä k e m y k s e n,no,_,_,_
f o r m u l a,f o r m u l a n,no,_,_,_
t a p p a j a,t a p p a j a n,no,_,_,_
i h m e e l l i s y y s,i h m e e l l i s y y d e n,no,_,_,_
h a a v o i t t u m i n e n,h a a v o i t t u m i s e n,no,_,_,_
ä ä n i,ä ä n e n,no,_,_,_
k o p p i,k o p i n,yes,quantitative,p,direct
e r i t t e l y,e r i t t e l y n,no,_,_,_
t e k s t i,t e k s t i n,no,_,_,_
s e l a a m i n e n,s e l a a m i s e n,no,_,_,_
r a a t i,r a a d i n,yes,qualitative,t,direct
m a t u r i t e e t t i,m a t u r i t e e t i n,yes,quantitative,t,direct
s y n t t ä r i,s y n t t ä r i n,no,_,_,_
p u h u j a,p u h u j a n,no,_,_,_
t i l k k a,t i l k a n,yes,quantitative,k,direct
h a l t i j a,h a l t i j a n,no,_,_,_
j u m i u t u m i n e n,j u m i u t u m i s e n,no,_,_,_
r i s t e y s,r i s t e y k s e n,no,_,_,_
j a k a m i n e n,j a k a m i s e n,no,_,_,_
p e k o n i,p e k o n i n,no,_,_,_
h ä i r i n t ä,h ä i r i n n ä n,yes,qualitative,t,direct
m e r e n e l ä v ä,m e r e n e l ä v ä n,no,_,_,_
v a m m a,v a m m a n,no,_,_,_
v a s e m m i s t o,v a s e m m i s t o n,no,_,_,_
k ä s i v a r s i,k ä s i v a r r e n,no,_,_,_
t u k k i,t u k i n,yes,quantitative,k,direct
t u t t a v a,t u t t a v a n,no,_,_,_
j ä l k k ä r i,j ä l k k ä r i n,no,_,_,_
s e r k k u,s e r k u n,yes,quantitative,k,direct
p o r k k a n a,p o r k k a n a n,no,_,_,_
m ä k i,m ä e n,yes,qualitative,k,direct
k i p p o,k i p o n,yes,quantitative,p,direct
l o p p u m i n e n,l o p p u m i s e n,no,_,_,_
f i n a l i s t i,f i n a l i s t i n,no,_,_,_
a l t i s t u m i n e n,a l t i s t u m i s e n,no,_,_,_
s a k k o,s a k o n,yes,quantitative,k,direct
t u n g o s,t u n g o k s e n,no,_,_,_
a l l e r g i k k o,a l l e r g i k o n,yes,quantitative,k,direct
l e n k k i,l e n k i n,yes,quantitative,k,direct
v a i n o h a r h a i s u u s,v a i n o h a r h a i s u u d e n,no,_,_,_
t o r n i,t o r n i n,no,_,_,_
k ä y t ä n n e,k ä y t ä n t e e n,yes,qualitative,t,inverse
p a l j o u s,p a l j o u d e n,no,_,_,_
h i s s i,h i s s i n,no,_,_,_
f i s s i o,f i s s i o n,no,_,_,_
l e n t u e,l e n t u e e n,no,_,_,_
t o n n i,t o n n i n,no,_,_,_
e r i t e,e r i t t e e n,yes,quantitative,t,inverse
s a n a,s a n a n,no,_,_,_
k u n i n g a s,k u n i n k a a n,yes,qualitative,k,inverse
l u p a,l u v a n,yes,qualitative,p,direct
m a j a k k a,m a j a k a n,yes,quantitative,k,direct
t ö y s s y,t ö y s s y n,no,_,_,_
a m m a t t i l a i n e n,a m m a t t i l a i s e n,no,_,_,_
a h d i s t u n e i s u u s,a h d i s t u n e i s u u d e n,no,_,_,_
n o u s e m i n e n,n o u s e m i s e n,no,_,_,_
k y n s i,k y n n e n,no,_,_,_
m u r t a u t u j a,m u r t a u t u j a n,no,_,_,_
r i s k i,r i s k i n,no,_,_,_
t o r s t a i,t o r s t a i n,no,_,_,_
r u u m i s,r u u m i i n,no,_,_,_
v a l m i s t u s,v a l m i s t u k s e n,no,_,_,_
v a r t a l o,v a r t a l o n,no,_,_,_
v a s t a a n o t t a m i n e n,v a s t a a n o t t a m i s e n,no,_,_,_
l ö y t ö,l ö y d ö n,yes,qualitative,t,direct
r u n s a u s,r u n s a u d e n,no,_,_,_
p o m p p u,p o m p u n,yes,quantitative,p,direct
t u n k i o,t u n k i o n,no,_,_,_
a m b u l a n s s i,a m b u l a n s s i n,no,_,_,_
ä k s ä,ä k s ä n,no,_,_,_
l i i t e,l i i t t e e n,yes,quantitative,t,inverse
h e l v e t t i,h e l v e t i n,yes,quantitative,t,direct
s o h j o,s o h j o n,no,_,_,_
p o l k u,p o l u n,yes,qualitative,k,direct
v i e j ä,v i e j ä n,no,_,_,_
s t u d i o,s t u d i o n,no,_,_,_
k o m i s s i o,k o m i s s i o n,no,_,_,_
l a s e r,l a s e r i n,no,_,_,_
k i r j a i m i s t o,k i r j a i m i s t o n,no,_,_,_
s ä ä s t ä m i n e n,s ä ä s t ä m i s e n,no,_,_,_
k u u l a,k u u l a n,no,_,_,_
l u j i t t a m i n e n,l u j i t t a m i s e n,no,_,_,_
p i h t i,p i h d i n,yes,qualitative,t,direct
s u o n i,s u o n e n,no,_,_,_
s e k s u a a l i s u u s,s e k s u a a l i s u u d e n,no,_,_,_
a b s o l u t i s t i,a b s o l u t i s t i n,no,_,_,_
s e l v i t t e l y,s e l v i t t e l y n,no,_,_,_
s u k u l a i n e n,s u k u l a i s e n,no,_,_,_
h u o m e n,h u o m e n e n,no,_,_,_
a a m u,a a m u n,no,_,_,_
p u o l u s t a m i n e n,p u o l u s t a m i s e n,no,_,_,_
r e i s s u,r e i s s u n,no,_,_,_
h o r m o n i,h o r m o n i n,no,_,_,_
k i r u r g i a,k i r u r g i a n,no,_,_,_
b a s i s t i,b a s i s t i n,no,_,_,_
t u l v a,t u l v a n,no,_,_,_
h a a s t a t e l t u,h a a s t a t e l l u n,yes,qualitative,t,direct
k a n a v a,k a n a v a n,no,_,_,_
s o l i s l u u,s o l i s l u u n,no,_,_,_
t i e d o t u s,t i e d o t u k s e n,no,_,_,_
p ö l y t t ä j ä,p ö l y t t ä j ä n,no,_,_,_
m u o v i,m u o v i n,no,_,_,_
p y y h k i m i n e n,p y y h k i m i s e n,no,_,_,_
s e u t u,s e u d u n,yes,qualitative,t,direct
t y p e r y y s,t y p e r y y d e n,no,_,_,_
m a j a,m a j a n,no,_,_,_
l u o v a,l u o v a n,no,_,_,_
v e l v o l l i s u u s,v e l v o l l i s u u d e n,no,_,_,_
m i e s,m i e h e n,no,_,_,_
s u m m a,s u m m a n,no,_,_,_
f i r m a,f i r m a n,no,_,_,_
t r i l l e r i,t r i l l e r i n,no,_,_,_
r i k o l l i n e n,r i k o l l i s e n,no,_,_,_
m a r j a,m a r j a n,no,_,_,_
a s e t t e l u,a s e t t e l u n,no,_,_,_
i n t e r v a l l i,i n t e r v a l l i n,no,_,_,_
v e l v o i t e,v e l v o i t t e e n,yes,quantitative,t,inverse
l u o v u t t a m i n e n,l u o v u t t a m i s e n,no,_,_,_
f r u k t o o s i,f r u k t o o s i n,no,_,_,_
j u o n i t t e l u,j u o n i t t e l u n,no,_,_,_
k u t s u m u s,k u t s u m u k s e n,no,_,_,_
p s y k o l o g i a,p s y k o l o g i a n,no,_,_,_
k a a v a,k a a v a n,no,_,_,_
i l t a,i l l a n,yes,qualitative,t,direct
e n e m m i s t ö,e n e m m i s t ö n,no,_,_,_
m e l u,m e l u n,no,_,_,_
v a l t a u s,v a l t a u k s e n,no,_,_,_
i t s e k k y y s,i t s e k k y y d e n,no,_,_,_
r a i s k a a j a,r a i s k a a j a n,no,_,_,_
k a k s i n p e l i,k a k s i n p e l i n,no,_,_,_
a i t a,a i d a n,yes,qualitative,t,direct
v u o k r a u s,v u o k r a u k s e n,no,_,_,_
e s i t t ä j ä,e s i t t ä j ä n,no,_,_,_
k u u l o k e,k u u l o k k e e n,yes,quantitative,k,inverse
u u s i n t a,u u s i n n a n,yes,qualitative,t,direct
h y p p ä ä m i n e n,h y p p ä ä m i s e n,no,_,_,_
i s ä n n ö i n t i,i s ä n n ö i n n i n,yes,qualitative,t,direct
s a r a k e,s a r a k k e e n,yes,quantitative,k,inverse
t a t a a r i,t a t a a r i n,no,_,_,_
s i l i t t ä m i n e n,s i l i t t ä m i s e n,no,_,_,_
r u t i s t u s,r u t i s t u k s e n,no,_,_,_
r y h ä v a l a s,r y h ä v a l a a n,no,_,_,_
p a r i,p a r i n,no,_,_,_
d y n a m i i k k a,d y n a m i i k a n,yes,quantitative,k,direct
h a d r o n i,h a d r o n i n,no,_,_,_
p u s s u k k a,p u s s u k a n,yes,quantitative,k,direct
k u v a j a i n e n,k u v a j a i s e n,no,_,_,_
u u t u u s,u u t u u d e n,no,_,_,_
k o o r d i n a a t t i,k o o r d i n a a t i n,yes,quantitative,t,direct
s i i p i,s i i v e n,yes,qualitative,p,direct
k s y l i t o l i,k s y l i t o l i n,no,_,_,_
t u n n e t t a v u u s,t u n n e t t a v u u d e n,no,_,_,_
e l ä j ä,e l ä j ä n,no,_,_,_
l a i n a,l a i n a n,no,_,_,_
m u r e k e,m u r e k k e e n,yes,quantitative,k,inverse
j a k e l u,j a k e l u n,no,_,_,_
j u o p p o,j u o p o n,yes,quantitative,p,direct
r i s t e i l y,r i s t e i l y n,no,_,_,_
m y y m ä l ä,m y y m ä l ä n,no,_,_,_
h a k k e r o i n t i,h a k k e r o i n n i n,yes,qualitative,t,direct
u r k u r i,u r k u r i n,no,_,_,_
k ä y m ä l ä,k ä y m ä l ä n,no,_,_,_
t o r j u n t a,t o r j u n n a n,yes,qualitative,t,direct
r o o m a l a i n e n,r o o m a l a i s e n,no,_,_,_
m ö n j ä,m ö n j ä n,no,_,_,_
s u o l a,s u o l a n,no,_,_,_
o s a s t o,o s a s t o n,no,_,_,_
h e l m a,h e l m a n,no,_,_,_
k u u l u i s u u s,k u u l u i s u u d e n,no,_,_,_
h o r i s o n t t i,h o r i s o n t i n,yes,quantitative,t,direct
l u o k k a,l u o k a n,yes,quantitative,k,direct
h a m m a s,h a m p a a n,yes,qualitative,p,inverse
a s t i a,a s t i a n,no,_,_,_
k e s ä,k e s ä n,no,_,_,_
l ä p p ä r i,l ä p p ä r i n,no,_,_,_
h ä m m ä s t y s,h ä m m ä s t y k s e n,no,_,_,_
s e n a a t t i,s e n a a t i n,yes,quantitative,t,direct
i d e a,i d e a n,no,_,_,_
l ä m p ö,l ä m m ö n,yes,qualitative,p,direct
l a s k e m i n e n,l a s k e m i s e n,no,_,_,_
p u l m a,p u l m a n,no,_,_,_
t i e t o,t i e d o n,yes,qualitative,t,direct
h a i,h a i n,no,_,_,_
